epoch,Real_P,Fake_P,Gen_loss,Dis_loss
    0,0.741078,0.437092,1.176748,1.203912
    1,0.690443,0.390437,1.257232,1.117236
    2,0.709078,0.365770,1.563196,1.059252
    3,0.650239,0.393956,1.104628,1.107578
    4,0.676013,0.386518,1.413743,1.136003
    5,0.633257,0.398499,1.064323,1.137486
    6,0.635168,0.379440,1.134673,1.130514
    7,0.605121,0.401333,1.043501,1.210917
    8,0.619505,0.396028,1.050229,1.155905
    9,0.612878,0.400263,1.038441,1.175118
   10,0.589932,0.384046,1.095712,1.231224
   11,0.621864,0.385474,1.088145,1.133418
   12,0.626494,0.375113,1.145271,1.139749
   13,0.637589,0.377413,1.115055,1.111295
   14,0.619617,0.390756,1.059544,1.142545
   15,0.588104,0.417063,0.953236,1.218819
   16,0.587062,0.422291,0.933345,1.207529
   17,0.577685,0.425956,0.914782,1.227608
   18,0.549222,0.430094,0.908518,1.288688
   19,0.538874,0.452269,0.827996,1.295509
   20,0.581562,0.433310,0.887469,1.220280
   21,0.564184,0.434351,0.890957,1.260040
   22,0.582057,0.433545,0.891705,1.224343
   23,0.575178,0.428949,0.903994,1.231630
   24,0.593991,0.429256,0.905937,1.201559
   25,0.595764,0.424671,0.924995,1.196153
   26,0.599048,0.422761,0.934321,1.190339
   27,0.601941,0.418231,0.948199,1.181335
   28,0.597544,0.419741,0.943343,1.187182
   29,0.599982,0.418946,0.947900,1.181943
   30,0.593902,0.415505,0.961362,1.191650
   31,0.606883,0.411954,0.974271,1.166891
   32,0.602613,0.407201,0.988484,1.170682
   33,0.610565,0.406345,0.995190,1.153944
   34,0.612730,0.403536,1.006124,1.150224
   35,0.612878,0.401947,1.013787,1.147039
   36,0.610638,0.400612,1.022138,1.153903
   37,0.609989,0.400008,1.026340,1.153754
   38,0.612753,0.397888,1.030356,1.144340
   39,0.613481,0.397013,1.036937,1.145411
   40,0.615792,0.395391,1.043130,1.138744
   41,0.616250,0.394440,1.048610,1.136986
   42,0.611671,0.394102,1.049753,1.147385
   43,0.612296,0.396981,1.040793,1.145710
   44,0.618877,0.388571,1.072318,1.131053
   45,0.623391,0.385167,1.085220,1.118775
   46,0.622580,0.383310,1.093356,1.121813
   47,0.624305,0.382832,1.095425,1.116435
   48,0.625526,0.381413,1.099300,1.112987
   49,0.626542,0.378822,1.112298,1.110968
   50,0.626952,0.381010,1.105456,1.108967
   51,0.631598,0.376550,1.114707,1.096281
   52,0.631167,0.375515,1.125157,1.099415
   53,0.627934,0.376580,1.121745,1.106331
   54,0.630932,0.376075,1.125161,1.097733
   55,0.630195,0.374982,1.130948,1.101041
   56,0.634706,0.373483,1.133471,1.089134
   57,0.635030,0.370171,1.150596,1.088902
   58,0.637899,0.368148,1.157916,1.082684
   59,0.637948,0.368434,1.156830,1.081002
   60,0.635727,0.368285,1.160692,1.087458
   61,0.638922,0.367036,1.161668,1.077225
   62,0.641323,0.362898,1.181619,1.073662
   63,0.644306,0.360335,1.190192,1.065363
   64,0.648916,0.358448,1.198388,1.052823
   65,0.646525,0.359146,1.199990,1.061563
   66,0.646200,0.359537,1.196194,1.060103
   67,0.647254,0.356150,1.218077,1.058499
   68,0.649920,0.355772,1.211183,1.050778
   69,0.649288,0.354210,1.215682,1.052507
   70,0.649472,0.355897,1.214401,1.052733
   71,0.650990,0.351523,1.232985,1.047470
   72,0.650542,0.353338,1.224957,1.049336
   73,0.652315,0.351095,1.229385,1.044395
   74,0.651507,0.351808,1.228062,1.046460
   75,0.654409,0.349941,1.234913,1.038619
   76,0.656833,0.346357,1.252844,1.033560
   77,0.658091,0.346299,1.251713,1.030570
   78,0.657797,0.345975,1.258815,1.032834
   79,0.661446,0.341993,1.273314,1.020454
   80,0.662631,0.340891,1.274573,1.019563
   81,0.660077,0.343991,1.266191,1.025731
   82,0.659710,0.343138,1.268361,1.025511
   83,0.661681,0.343567,1.265617,1.022189
   84,0.661497,0.342553,1.268068,1.021768
   85,0.663068,0.340262,1.280657,1.018647
   86,0.663402,0.338662,1.288243,1.015963
   87,0.667455,0.335005,1.301509,1.007514
   88,0.668085,0.335280,1.299039,1.006341
   89,0.670244,0.333636,1.307165,1.000087
   90,0.670546,0.332741,1.307886,1.001077
   91,0.669001,0.332620,1.313995,1.002162
   92,0.669739,0.333247,1.307585,1.001691
   93,0.672352,0.331580,1.325149,0.996195
   94,0.670554,0.331540,1.325596,0.999425
   95,0.671459,0.331703,1.325446,0.997527
   96,0.673022,0.329691,1.335715,0.993307
   97,0.669770,0.332083,1.328318,1.002009
   98,0.671209,0.330452,1.331643,0.998144
   99,0.671744,0.330634,1.332159,0.996167
  100,0.672145,0.329705,1.333924,0.996131
  101,0.674237,0.327848,1.341226,0.988833
  102,0.674047,0.327892,1.336454,0.990156
  103,0.680368,0.323171,1.354452,0.974998
  104,0.679379,0.323018,1.353609,0.976893
  105,0.682308,0.319495,1.375758,0.970832
  106,0.681671,0.320223,1.364658,0.973716
  107,0.680271,0.321374,1.372577,0.976311
  108,0.682070,0.320541,1.369640,0.970312
  109,0.683550,0.318565,1.379095,0.967232
  110,0.682447,0.318617,1.379281,0.969968
  111,0.684395,0.318805,1.378723,0.966872
  112,0.682993,0.318944,1.381062,0.966510
  113,0.684213,0.317049,1.391722,0.965100
  114,0.685153,0.316702,1.386712,0.962445
  115,0.684163,0.318566,1.380837,0.965125
  116,0.686992,0.315348,1.401724,0.958739
  117,0.687148,0.315067,1.403297,0.958195
  118,0.686791,0.314953,1.406476,0.959225
  119,0.687242,0.315271,1.401409,0.958763
