epoch,norm,triplet_loss
    0,1.406549,0.000000
    1,1.387698,0.397501
    2,1.346997,0.397203
    3,1.307614,0.396807
    4,1.270956,0.396384
    5,1.236163,0.395871
    6,1.205214,0.395176
    7,1.178831,0.394599
    8,1.159018,0.393656
    9,1.145107,0.392667
   10,1.130760,0.391749
   11,1.124775,0.390433
   12,1.116380,0.389485
   13,1.114009,0.388395
   14,1.114733,0.387160
   15,1.114735,0.385952
   16,1.119790,0.385188
   17,1.123153,0.383695
   18,1.132040,0.382407
   19,1.135988,0.381371
   20,1.144527,0.379263
   21,1.152749,0.378608
   22,1.162998,0.377744
   23,1.171726,0.376631
   24,1.176582,0.375845
   25,1.184146,0.373369
   26,1.199680,0.372140
   27,1.207583,0.371798
   28,1.210784,0.371241
   29,1.226459,0.369158
   30,1.232657,0.368723
   31,1.243594,0.367325
   32,1.252338,0.366303
   33,1.263598,0.365921
   34,1.272307,0.364972
   35,1.279597,0.362478
   36,1.294093,0.361202
   37,1.295954,0.360340
   38,1.303268,0.359144
   39,1.314306,0.359386
   40,1.327682,0.356616
   41,1.330363,0.359139
   42,1.337866,0.354396
   43,1.344583,0.354622
   44,1.356595,0.355915
   45,1.357298,0.352120
   46,1.365547,0.353634
   47,1.371837,0.351224
   48,1.384822,0.352511
   49,1.391641,0.350870
   50,1.395746,0.348499
   51,1.410344,0.346677
   52,1.412956,0.347992
   53,1.416514,0.345089
   54,1.421529,0.345622
   55,1.436143,0.342731
   56,1.447862,0.344684
   57,1.445929,0.342993
   58,1.454901,0.345054
   59,1.456559,0.343233
   60,1.461969,0.343310
   61,1.468785,0.342113
   62,1.479930,0.340691
   63,1.483299,0.341594
   64,1.488500,0.340455
   65,1.497464,0.338393
   66,1.498202,0.337866
   67,1.505503,0.337174
   68,1.508479,0.339267
   69,1.515739,0.335383
   70,1.531079,0.335706
   71,1.527086,0.337857
   72,1.533099,0.333652
   73,1.540298,0.333438
   74,1.532588,0.336365
   75,1.550896,0.334512
   76,1.550102,0.329385
   77,1.550871,0.332429
   78,1.555265,0.334254
   79,1.563506,0.331106
   80,1.565754,0.329385
   81,1.564238,0.330472
   82,1.568154,0.329414
   83,1.579990,0.331034
   84,1.586045,0.327014
   85,1.583573,0.328347
   86,1.592672,0.325988
   87,1.592773,0.328210
   88,1.594289,0.326987
   89,1.599105,0.325384
   90,1.602579,0.326910
   91,1.606765,0.324958
   92,1.617187,0.325847
   93,1.615225,0.321755
   94,1.610764,0.321659
   95,1.624211,0.318760
   96,1.631814,0.321092
   97,1.631147,0.322458
   98,1.627116,0.320956
   99,1.632450,0.325303
  100,1.643170,0.319745
  101,1.648444,0.321647
  102,1.643884,0.319851
  103,1.655295,0.319923
  104,1.658267,0.313906
  105,1.649545,0.319030
  106,1.661470,0.320083
  107,1.664692,0.317333
  108,1.674717,0.320376
  109,1.672164,0.314541
  110,1.676638,0.317303
  111,1.670568,0.317676
  112,1.677719,0.319015
  113,1.679482,0.312164
  114,1.675944,0.313843
  115,1.684072,0.314146
  116,1.692541,0.313599
  117,1.689178,0.311403
  118,1.683071,0.311899
  119,1.695595,0.311806
  120,1.694407,0.311887
  121,1.703051,0.309799
  122,1.694283,0.309752
  123,1.698786,0.315807
  124,1.698523,0.310149
  125,1.705899,0.307837
  126,1.711151,0.306718
  127,1.713884,0.311695
  128,1.718309,0.309778
  129,1.716407,0.306377
  130,1.711203,0.309645
  131,1.724285,0.305236
  132,1.728339,0.308461
  133,1.724717,0.307994
  134,1.727474,0.307336
  135,1.719977,0.308237
  136,1.729469,0.305374
  137,1.736710,0.303997
  138,1.728410,0.302660
  139,1.732340,0.302943
  140,1.737687,0.299184
  141,1.734093,0.305102
  142,1.731023,0.303730
  143,1.746801,0.305432
  144,1.747936,0.301075
  145,1.751103,0.300515
  146,1.747074,0.304403
  147,1.751677,0.302882
  148,1.752773,0.302909
  149,1.747418,0.300826
  150,1.749759,0.296888
  151,1.761061,0.300723
  152,1.760406,0.298834
  153,1.762651,0.296844
  154,1.754596,0.298370
  155,1.760646,0.303318
  156,1.766893,0.297419
  157,1.758570,0.301579
  158,1.764881,0.295549
  159,1.764513,0.297478
  160,1.781391,0.297406
  161,1.771200,0.297183
  162,1.785313,0.295515
  163,1.771057,0.296170
  164,1.773787,0.297360
  165,1.777029,0.294231
  166,1.771574,0.296573
  167,1.779844,0.294533
  168,1.780650,0.295459
  169,1.775888,0.294524
  170,1.787704,0.293352
  171,1.779178,0.291414
  172,1.782886,0.287593
  173,1.788458,0.287257
  174,1.786703,0.293850
  175,1.782964,0.289277
  176,1.793267,0.293936
  177,1.784463,0.283467
  178,1.790686,0.285499
  179,1.792674,0.289235
  180,1.794091,0.288370
