epoch,norm,triplet_loss
    0,1.481925,0.000000
    1,1.462334,0.397571
    2,1.420400,0.397290
    3,1.380212,0.397000
    4,1.340619,0.396524
    5,1.303094,0.396013
    6,1.266164,0.395343
    7,1.236766,0.394597
    8,1.208038,0.394062
    9,1.187055,0.392868
   10,1.165555,0.392253
   11,1.153437,0.390854
   12,1.142832,0.389239
   13,1.135392,0.388717
   14,1.129388,0.387866
   15,1.125268,0.386682
   16,1.124944,0.385469
   17,1.129517,0.384286
   18,1.129151,0.382944
   19,1.136166,0.381524
   20,1.141018,0.379485
   21,1.147991,0.378716
   22,1.153526,0.378444
   23,1.161168,0.376208
   24,1.164685,0.374864
   25,1.176896,0.374274
   26,1.180357,0.373615
   27,1.190773,0.372031
   28,1.197488,0.370112
   29,1.204136,0.369463
   30,1.217779,0.368101
   31,1.222678,0.367825
   32,1.228264,0.365400
   33,1.236475,0.366305
   34,1.243820,0.362819
   35,1.254447,0.360500
   36,1.263547,0.360051
   37,1.269673,0.362229
   38,1.277437,0.358730
   39,1.284387,0.359501
   40,1.292909,0.356915
   41,1.302551,0.356415
   42,1.310584,0.356516
   43,1.316806,0.356502
   44,1.325267,0.354402
   45,1.325948,0.352808
   46,1.337861,0.353756
   47,1.343535,0.353965
   48,1.352371,0.351368
   49,1.361665,0.347871
   50,1.370836,0.347950
   51,1.361746,0.349370
   52,1.380176,0.346439
   53,1.389490,0.347435
   54,1.389688,0.347230
   55,1.396355,0.344290
   56,1.401980,0.347174
   57,1.408659,0.344184
   58,1.414328,0.344636
   59,1.421890,0.342878
   60,1.417577,0.345390
   61,1.425432,0.342808
   62,1.434820,0.340885
   63,1.446550,0.337930
   64,1.446766,0.338407
   65,1.448391,0.338665
   66,1.457616,0.339682
   67,1.467623,0.339853
   68,1.467835,0.336638
   69,1.465083,0.339992
   70,1.482174,0.334766
   71,1.485128,0.336061
   72,1.486775,0.334231
   73,1.494294,0.335345
   74,1.504317,0.332039
   75,1.502150,0.334120
   76,1.510082,0.332780
   77,1.511948,0.333394
   78,1.513337,0.333299
   79,1.514008,0.334262
   80,1.513189,0.329876
   81,1.522921,0.332464
   82,1.525705,0.333246
   83,1.530632,0.331580
   84,1.536353,0.330669
   85,1.546297,0.327998
   86,1.550407,0.325641
   87,1.541847,0.328424
   88,1.551753,0.328496
   89,1.552620,0.327524
   90,1.564118,0.324449
   91,1.568448,0.324148
   92,1.562138,0.323455
   93,1.574909,0.326795
   94,1.576540,0.324407
   95,1.578909,0.327332
   96,1.575937,0.318625
   97,1.586611,0.320165
   98,1.593321,0.323908
   99,1.583837,0.324225
  100,1.593253,0.323362
  101,1.598217,0.321550
  102,1.598236,0.319936
  103,1.603411,0.322606
  104,1.603620,0.320502
  105,1.598328,0.317447
  106,1.612371,0.320651
  107,1.607809,0.314647
  108,1.622369,0.316902
  109,1.613248,0.319015
  110,1.615603,0.315835
  111,1.619322,0.318750
  112,1.625568,0.316087
  113,1.626925,0.314598
  114,1.620924,0.317110
  115,1.637029,0.317220
  116,1.641537,0.311940
  117,1.634506,0.312335
  118,1.644428,0.313948
  119,1.644891,0.314165
  120,1.640154,0.313516
  121,1.649754,0.308439
  122,1.648966,0.313795
  123,1.644869,0.314057
  124,1.648762,0.307888
  125,1.654206,0.311105
  126,1.667650,0.312193
  127,1.647690,0.315510
  128,1.662499,0.309436
  129,1.654930,0.314070
  130,1.658706,0.313309
  131,1.658268,0.311314
  132,1.668027,0.308999
  133,1.663182,0.310586
  134,1.673074,0.306635
  135,1.676897,0.306959
  136,1.673241,0.306247
  137,1.678203,0.308385
  138,1.680310,0.304586
  139,1.681207,0.303183
  140,1.674779,0.305059
  141,1.680821,0.304583
  142,1.678866,0.303101
  143,1.676682,0.306307
  144,1.687660,0.300787
  145,1.680712,0.304574
  146,1.690541,0.305604
  147,1.697336,0.303570
  148,1.693315,0.305085
  149,1.682677,0.299226
  150,1.698808,0.301745
  151,1.692343,0.297120
  152,1.701896,0.299404
  153,1.695498,0.300271
  154,1.697499,0.300911
  155,1.708812,0.296973
  156,1.702262,0.299543
  157,1.700010,0.296975
  158,1.712099,0.297608
  159,1.699084,0.297282
  160,1.705347,0.299497
  161,1.703937,0.298369
  162,1.710165,0.298816
  163,1.710912,0.302478
  164,1.710624,0.298112
  165,1.706136,0.296681
  166,1.703847,0.296427
  167,1.711102,0.294338
  168,1.706277,0.298653
  169,1.709852,0.294383
  170,1.709973,0.295628
  171,1.710839,0.295119
  172,1.719568,0.293173
  173,1.721279,0.296943
  174,1.720811,0.293524
  175,1.714263,0.291701
  176,1.723134,0.293728
  177,1.713182,0.292722
  178,1.718296,0.292241
  179,1.714745,0.290122
  180,1.727799,0.295063
